Noun,Verb,Met Par,Sentence,Metonymy,Metaphor,Hybrid,Category
chef,demonstrate,kitchen,"however, the adaptive expert chef clearly demonstrates flexible knowledge and performance of sushi-making.","however, the adaptive expert kitchen clearly demonstrates flexible knowledge and performance of sushi-making.","however, the adaptive expert chef clearly painted flexible knowledge and performance of sushi-making.","however, the adaptive expert kitchen clearly painted flexible knowledge and performance of sushi-making.",CN
constable,carry,prison,a pune police constable who had previously hanged ajmal kasab carried out the execution.,a pune police prison that had previously hanged ajmal kasab carried out the execution.,"The constable lifted the weight of death, a burden he had previously borne with the execution of Ajmal Kasab.","a pune police prison lifted the weight of death, a burden it had previously borne with the execution of Ajmal Kasab.",CN
philosopher,warn,ancient greek temple,the philosopher warns his patron nero but to no purpose.,the ancient greek temple warns his patron nero but to no purpose.,"The philosopher thundered warnings at Nero, but to no avail.","the ancient greek temple thundered warnings at Nero, but to no avail.",CN
judge,release,courtroom,"in 1995, the french detained him on falsified papers, however, the judge released him.","in 1995, the french detained him on falsified papers, however, the courtroom released him.","The judge set him free like a bird, and the chains of false accusations fell away.","in 1995, the french detained him on falsified papers, however, the courtroom set him free like a bird, and the chains of false accusations fell away.",CN
manager,deny,office,"""ex-manager denies he had orders to hide clemente"".","""the former office denies he had orders to hide clemente"".",The ex-manager vehemently disavowed having orders to hide Clemente.,"""the former office vehemently disavowed having orders to hide Clemente.",CN
engineer,stop,control panel,the train's engineer could not stop the train in time.,the train's control panel could not stop the train in time.,The train's engineer couldn't come to a screeching halt in time.,the train's control panel couldn't come to a screeching halt in time.,CN
researcher,take,laboratory,"the researcher takes notes, usually handwritten, of everything that happens.","the laboratory takes notes, usually handwritten, of everything that happens.",The researcher devours every detail with her pen.,the laboratory devours every detail with her pen.,CN
reporter,call,newsroom,"the hollywood reporter called it an ""amusing farce","the hollywood newsroom called it an ""amusing farce",The Hollywood reporter described the movie as a gut-wrenching travesty.,the hollywood newsroom described the movie as a gut-wrenching travesty.,CN
professor,make,laboratory,the professor soon makes an unsettling discovery.,the laboratory soon makes an unsettling discovery.,The professor soon uncovered an unsettling discovery.,the laboratory soon uncovered an unsettling discovery.,CN
scientist,succeed,laboratory,"however, no scientist ever succeeded in preventing this corrosion.","however, no laboratory ever succeeded in preventing this corrosion.","However, no scientist ever faltered in the face of preventing this corrosion.","however, no laboratory ever faltered in the face of preventing this corrosion.",CN
president,dispatch,White House,"in may 1864, the president dispatched general daniel sickles to nashville on a fact-finding mission.","in may 1864, the White House dispatched general daniel sickles to nashville on a fact-finding mission.","In May 1864, the president catapulted General Daniel Sickles into the fray, sending him to Nashville on a fact-finding mission.","in may 1864, the White House catapulted General Daniel Sickles into the fray, sending him to Nashville on a fact-finding mission.",NE
filmmaker,accompany,film set,a documentary filmmaker will accompany the team.,a documentary film set will accompany the team.,The documentary filmmaker will shadow the team relentlessly.,a documentary film set will shadow the team relentlessly.,CN
queen,sing,recording studio,"in the song, queen sings to her friend about loving her friend's man.","in the song, recording studio sings to her friend about loving her friend's man.","In the song, the queen warbles a melancholy tune about loving her friend's man.","in the song, recording studio warbles a melancholy tune about loving her friend's man.",CN
physician,die,stethoscope,"known for his jolly demeanor, the corpulent physician died on november 5, 1859.","known for his jolly demeanor, the corpulent stethoscope died on november 5, 1859.","The corpulent physician, known for his jolly demeanor, imploded on November 5, 1859.","The corpulent stethoscope , known for his jolly demeanor, imploded on November 5, 1859.",CN
historian,write,military base,"the regimental historian wrote, ""it was a sad night for the twenty-second.","the regimental military base wrote, ""it was a sad night for the twenty-second.","The regimental historian stained the page with sorrow, recounting that it was a sad night for the twenty-second.","the regimental military base stained the page with sorrow, recounting that it was a sad night for the twenty-second.",CN
psychologist,insist,office,the psychologist insists on talking to jessica.,the office insists on talking to jessica.,The psychologist was hammering home the importance of talking to Jessica.,the office was hammering home the importance of talking to Jessica.,CN
trainer,stand,film set,"in the apology scene, a trainer was standing just off-camera to direct the chimpanzee's behavior.","in the apology scene, a film set was standing just off-camera to direct the chimpanzee's behavior.","In the apology scene, a trainer was standing just off-camera, to picture the stage of the chimpanzee's behavior.","in the apology scene, a film set was standing just off-camera, to picture the stage of the chimpanzee's behavior.",CN
researcher,use,laboratory,the researcher must use common sense to derive meaning from dif analyses.,the laboratory must use common sense to derive meaning from dif analyses.,The researcher must conjure meaning from disparate analyses using common sense.,the laboratory must conjure meaning from disparate analyses using common sense.,CN
actor,engage,stage,the single actor engaged in dialogue with the choros.,the single stage engaged in dialogue with the choros.,The single actor erupted into conversation with the chorus.,the single stage erupted into conversation with the chorus.,CN
comedian,open,comedy club,"more rarely, a comedian will open for a music concert.","more rarely, a comedy club will open for a music concert.","More rarely, a comedian will unleash a tidal wave of laughter before a music concert.","more rarely, a comedy club will unleash a tidal wave of laughter before a music concert.",CN
mathematician,say,calculator,"just say: the greatest mathematician in mercer road"".","just say: the greatest calculator in mercer road"".",The greatest mathematician in Mercer Road whispered to the stars.,just say: the greatest calculator in Mercer Road whispered to the stars.,CN
developer,announce,office,"in early june 2009, the developer announced that the conduit had gone gold.","in early june 2009, the office announced that the conduit had gone gold.","In early June 2009, the developer blared the news that The Conduit had gone gold from the rooftops.","in early june 2009, the office blared the news that The Conduit had gone gold from the rooftops.",CN
manager,implement,office,entrust authority security manager implements cmp support.,entrust authority security office implements cmp support.,The security manager unleashed a fortress of support for Cmp.,entrust authority security office unleashed a fortress of support for Cmp.,CN
writer,say,office,"a writer for the official neighbours website said sam was ""long-suffering"" and an ""off-the-rails lawyer"".","a office for the official neighbours website said sam was ""long-suffering"" and an ""off-the-rails lawyer"".","The writer unleashed a verbal barrage, describing Sam as ""long-suffering"" and ""off-the-rails.""","a office unleashed a verbal barrage, describing Sam as ""long-suffering"" and ""off-the-rails.""",CN
narrator,turn,camera,"the narrator turns to show the fire prevention headquarters, but it was already burned down.","the camera turns to show the fire prevention headquarters, but it was already burned down.","As the narrator's gaze twisted into ash, he realized the fire prevention headquarters was already nothing but a smoldering ruin.","the camera 's gaze twisted into ash, he realized the fire prevention headquarters was already nothing but a smoldering ruin.",CN
patient,live,hospital,the patient lived for 18 years with full function of the transplanted organ.,the hospital lived for 18 years with full function of the transplanted organ.,The patient thrived for 18 years with full function of the transplanted organ.,the hospital thrived for 18 years with full function of the transplanted organ.,CN
comedian,hang,comedy club,"a hopeful comedian, buckles, hangs around to fill in when somebody drops out.","a hopeful comedy club, buckles, hangs around to fill in when somebody drops out.","The hopeful comedian clings for dear life to the spot, waiting to fill in when someone drops out.","a hopeful comedy club clings for dear life to the spot, waiting to fill in when someone drops out.",CN
king,restore,sceptre,the king restores bisclavret's lands to him and exiles the baroness and her knight.,the sceptre restores bisclavret's lands to him and exiles the baroness and her knight.,"The king's mercy rejuvenated Bisclavret's lands, while the baroness and her knight were cast into exile.","the sceptre 's mercy rejuvenated Bisclavret's lands, while the baroness and her knight were cast into exile.",CN
analyst,fire,military base,the technical intelligence analyst might eventually fire the weapon under controlled circumstances.,the technical intelligence military base might eventually fire the weapon under controlled circumstances.,The technical intelligence analyst might eventually unleash the weapon under controlled circumstances.,the technical intelligence military base might eventually unleash the weapon under controlled circumstances.,CN
author,describe,study,the author has described the book as 'a modern romance without heather or hardmen'.,the study has described the book as 'a modern romance without heather or hardmen'.,The author painted a vivid tapestry of the book as a modern romance without heather or hardmen.,the study painted a vivid tapestry of the book as a modern romance without heather or hardmen.,CN
sculptor,do,workshop,the sculptor also did some set work in the cinema.,the workshop also did some set work in the cinema.,The sculptor masterminded the set work in the cinema.,the workshop masterminded the set work in the cinema.,CN
biker,feel,helmet,"the biker feels uncomfortable, but does not dare to interrupt.","the helmet feels uncomfortable, but does not dare to interrupt.","The biker was forced to squirm in his seat, unable to interrupt.","the helmet was forced to squirm in his seat, unable to interrupt.",CN
mayor,become,city hall,his term as mayor became difficult in the wake of the economic crises.,his term as city hall became difficult in the wake of the economic crises.,His term as mayor imploded in the wake of the economic crises.,his term as city hall imploded in the wake of the economic crises.,CN
princess,travel,castle,the jealous princess would travel to the prince's kingdom to rob and terrorize his people.,the jealous castle would travel to the prince's kingdom to rob and terrorize his people.,The jealous princess would slink in the shadows to rob and terrorize the prince's people.,the jealous castle would slink in the shadows to rob and terrorize the prince's people.,CN
commentator,term,press box,"a less magnanimous commentator once termed the play ""a bad joke.","a less magnanimous press box once termed the play ""a bad joke.",The commentator once termed the play a cruel farce.,a less magnanimous press box once termed the play a cruel farce.,CN
animator,assert,animation studio,"furthermore, the animator asserts animation is animism.","furthermore, the animation studio asserts animation is animism.","Furthermore, the animator proclaims loudly that animation is animism.","furthermore, the animation studio proclaims loudly that animation is animism.",CN
manager,trace,spreadsheet,following this process the manager could trace out the complete supply function.,following this process the spreadsheet could trace out the complete supply function.,"Following this process, the manager could chart the complete supply function.",following this process the spreadsheet could chart the complete supply function.,CN
player,control,game development studio,"the player controls an embryonic animal as it grows, survives and reproduces through 20 generations.","the game development studio controls an embryonic animal as it grows, survives and reproduces through 20 generations.","The player masterminds the evolution of an embryonic animal as it grows, survives, and reproduces through 20 generations.","the game development studio masterminds the evolution of an embryonic animal as it grows, survives, and reproduces through 20 generations.",CN
composer,clarify,recording studio,"later, the composer of the song yassin clarified that the taala actually means ""to come"".","later, the recording studio of the song yassin clarified that the taala actually means ""to come"".","The composer of the song Yassin illuminated the true meaning of the taala, revealing that it actually means ""to come"".","later, the recording studio of the song Yassin illuminated the true meaning of the taala, revealing that it actually means ""to come"".",CN
architect,design,firm,"however, the architect, baldwin, designed only the façades of buildings.","however, the firmdesigned only the façades of buildings.","However, the architect, Baldwin, crafted masterpieces of engineering, but only on the façades of buildings.","however, the firm crafted masterpieces of engineering, but only on the façades of buildings.",CN
vocalist,start,mic,and the lead vocalist of the band  started by him and american guitarist marty friedman.,and the lead mic of the band  started by him and american guitarist marty friedman.,"The lead vocalist of the band, started by him and American guitarist Marty Friedman, let the music erupt.","and the lead mic of the band, started by him and American guitarist Marty Friedman, let the music erupt.",CN
performer,appear,script,"in some cases, a performer has appeared in different roles on the same show.","in some cases, a script has appeared in different roles on the same show.","In some cases, a performer has burst forth in different roles on the same show.","in some cases, a script has burst forth in different roles on the same show.",CN
philosopher,read,study,"thinking about the torah: a philosopher reads the bible, pages 113–33.","thinking about the torah: a study reads the bible, pages 113–33.",The philosopher devoured the words of the Torah on pages 113-133.,thinking about the torah: a study devoured the words of the Torah on pages 113-133.,CN
composer,stipulate,chessboard,"according to chess legend, a composer stipulated, ""white mates in one move.""","according to chess legend, a chessboard stipulated, ""white mates in one move.""","According to chess legend, a composer dictated that white must mate in one move.","according to chess legend, a chessboard dictated that white must mate in one move.",CN
waiter,go,notepad,the waiter then goes to ask them for dinner.,the notepad then goes to ask them for dinner.,The waiter then stormed in to ask them for dinner.,the notepad then stormed in to ask them for dinner.,CN
comedian,irritate,comedy club,"but the debutante comedian is irritating and never funny"".","but the debutante comedy club is irritating and never funny"".",The debutante comedian's jokes suffocate the audience.,but the debutante comedy club 's jokes suffocate the audience.,CN
doctor,resemble,stethoscope,the doctor on the show resembles dr. sakezo sado from space battleship yamato.,the stethoscope on the show resembles dr. sakezo sado from space battleship yamato.,The doctor on the show echoes Dr. Sakezo Sado from Space Battleship Yamato.,the stethoscope on the show echoes Dr. Sakezo Sado from Space Battleship Yamato.,CN
police,pursue,street,the police pursue eddie as hammon and paula look on.,the street pursue eddie as hammon and paula look on.,The police chased down Eddie as Hammond and Paula looked on.,the street chased down Eddie as Hammond and Paula looked on.,CN
police,treat,bulletproof vest,police treated the event as a terrorist attack.,bulletproof vest treated the event as a terrorist attack.,The police suffocated the event under the label of a terrorist attack.,bulletproof vest suffocated the event under the label of a terrorist attack.,CN
waiter,come,notepad,the waiter comes and she says goodbye to the gang.,the notepad comes and she says goodbye to the gang.,"The waiter descended upon her, and she said goodbye to the gang.","the notepad descended upon her, and she said goodbye to the gang.",CN
prince,offer,school,prince of wales offers french immersion to students in grades sk-8.,school of wales offers french immersion to students in grades sk-8.,The Prince of Wales bestows the gift of French immersion upon students in grades SK-8.,school of Wales bestows the gift of French immersion upon students in grades SK-8.,CN
ruler,form,palace,"on 29 june 1958, the ruler of the acehnese formed a special commission.","on 29 june 1958, the palace of the acehnese formed a special commission.","On 29 June 1958, the ruler of Aceh forged a special commission.","on 29 june 1958, the palace of Aceh forged a special commission.",CN
surgeon,give,hospital,the surgeon gave opium to cheap for the pain and he slept below.,the hospital gave opium to cheap for the pain and he slept below.,"The surgeon poisoned the patient with too much opium for the pain, and he slept below.","the hospital poisoned the patient with too much opium for the pain, and he slept below.",CN
artisan,finish,workshop,the artisan finishes the toy with a thin coat of lacquer.,the workshop finishes the toy with a thin coat of lacquer.,The artisan sealed the toy with a golden aura.,the workshop sealed the toy with a golden aura.,CN
racer,have,racing track,at any given time a racer could have numerous ever changing co-sponsors.,at any given time a racing track could have numerous ever changing co-sponsors.,"At any given time, a racer could possess a multitude of ever-changing co-sponsors.",at any given time a racing track could possess a multitude of ever-changing co-sponsors.,CN
developer,release,game development studio,"instead, the developer released the similarly named but unrelated game armada on november 26, 1999.","instead, the game development studio released the similarly named but unrelated game armada on november 26, 1999.","Instead, the developer unleashed a behemoth, the similarly named but unrelated game Armada, on November 26, 1999.","instead, the game development studio unleashed a behemoth, the similarly named but unrelated game Armada, on November 26, 1999.",CN
detective,enter,house,the detective enters their house to investigate.,the house enters their house to investigate.,The detective burst through the doorway of their house to investigate.,the house burst through the doorway of their house to investigate.,CN
queen,give,palace,soon the queen gave birth to a daughter.,soon the palace gave birth to a daughter.,The queen unleashed a daughter into the world.,soon the palace unleashed a daughter into the world.,CN
architect,recognise,office,a local architect recognised it as having been inspired by a development in scandinavia.,a local office recognised it as having been inspired by a development in scandinavia.,The local architect beheld the design as a reflection of a development in Scandinavia.,a local office beheld the design as a reflection of a development in Scandinavia.,CN
king,have,scepter,the king also had the village church rebuilt by friedrich august stüler in 1854.,the scepter also had the village church rebuilt by friedrich august stüler in 1854.,"The king resurrected the village church in 1854, with Friedrich August Stüler at its helm.","the sceptre resurrected the village church in 1854, with Friedrich August Stüler at its helm.",CN
comedian,attack,stage,"wishing to renege on the deal, the comedian eventually attacks and kills the devil.","wishing to renege on the deal, the stage eventually attacks and kills the devil.",The comedian eventually stabbed a dagger into the devil of his broken promise.,"wishing to renege on the deal, the stage eventually stabbed a dagger into the devil of his broken promise.",CN
trainer,enter,airbase,this jet trainer entered service with the italian air force in 2020.,this jet airbase entered service with the italian air force in 2020.,The jet trainer burst into service with the Italian Air Force in 2020.,this jet airbase burst into service with the Italian Air Force in 2020.,CN
constable,come,jail cell,the next morning the constable comes in front of the inmates for checking.,the next morning the jail cell comes in front of the inmates for checking.,The constable stormed into the cellblock the next morning to check on the inmates.,the next morning the jail cell stormed into the cellblock the next morning to check on the inmates.,CN
accountant,resume,calculator,"the unfortunate accountant resumes work in his company, but this time as a lightning rod.","the unfortunate calculator resumes work in his company, but this time as a lightning rod.",The unfortunate accountant took on a heavy burden as he resumed work in his company.,the unfortunate calculator took on a heavy burden as he resumed work in his company.,CN
manager,exclaim,whiteboard,"the manager exclaims, ""what would you be today if you had been able to?""","the whiteboard exclaims, ""what would you be today if you had been able to?""","The manager's words thundered, ""What would you be today if you had been able to?""","the whiteboard's words thundered, ""What would you be today if you had been able to?""",CN
comedian,emerge,voice,"[but] the most significant comedian to emerge since charlie chaplin"".","[but] the most significant voice to emerge since charlie chaplin"".",But the most significant comedian to bloom like a rose since Charlie Chaplin.,[but] the most significant voice to bloom like a rose since Charlie Chaplin.,CN
physician,refuse,stethoscope,"however, in the end, the physician refused to administer the procedure.","however, in the end, the stethoscope refused to administer the procedure.","However, in the end, the physician turned a deaf ear to administering the procedure.","however, in the end, the stethoscope turned a deaf ear to administering the procedure.",CN
president,determine,courthouse,the president of the tribunal determines which judges sit in which chambers.,the courthouse of the tribunal determines which judges sit in which chambers.,The president of the tribunal dictated the lineup of judges for each chamber.,the courthouse of the tribunal dictated the lineup of judges for each chamber.,CN
composer,try,music studio,the composer tried to reflect the chinese setting of the story in the music.,the music studio tried to reflect the chinese setting of the story in the music.,The composer poured the essence of the Chinese setting into the music.,the music studio poured the essence of the Chinese setting into the music.,CN
actor,join,television studio,the actor joined the starring cast as the series' fifth season began.,the television studio joined the starring cast as the series' fifth season began.,The actor burst into the starring cast as the series' fifth season began.,the television studio burst into the starring cast as the series' fifth season began.,CN
racer,have,car,no racer had a point deduction.,no car had a point deduction.,No racer had suffered the penalty of a point deduction.,no car suffered the penalty of a point deduction.,CN
sculptor,treat,workshop,however the sculptor never treated these works as art.,however the workshop never treated these works as art.,however the sculptor never treated these works as art.,however the workshop never framed these works as art.,CN
student,play,dorm room,a college student plays games with his friends in which they bet against each other.,a college dorm room plays games with his friends in which they bet against each other.,The college student wages war with their friends in a game of chance and skill.,a college dorm room wages war with their friends in a game of chance and skill.,CN
researcher,propose,laboratory,a researcher who wrote a doctoral thesis at the oltermann institute proposed the name oltermanni.,a laboratory that wrote a doctoral thesis at the oltermann institute proposed the name oltermanni.,The researcher thrust the name Oltermanni upon the Oltermann Institute.,a laboratory thrust the name Oltermanni upon the Oltermann Institute.,CN
scientist,explain,laboratory,the scientist explains that the group's supplies are experimental compounds which numb fear.,the laboratory explains that the group's supplies are experimental compounds which numb fear.,"The scientist unveiled the secrets of the group's supplies, revealing that they were experimental compounds that numbed fear.","the laboratory unveiled the secrets of the group's supplies, revealing that they were experimental compounds that numbed fear.",CN
narrator,observe,home,"the narrator observes a girl next door named mary, with whom he falls in love.","the home observes a girl next door named mary, with whom he falls in love.","The narrator gazed deeply into the soul of Mary, the girl next door, and fell in love.","the home gazed deeply into the soul of Mary, the girl next door, and fell in love.",CN
entrepreneur,produce,startup office,the entrepreneur can produce the most affordable and competitive services.,the startup office can produce the most affordable and competitive services.,The entrepreneur crafts the most affordable and competitive services with love.,the startup office crafts the most affordable and competitive services with love.,CN
programmer,create,computer,"any experienced programmer, using the amiga datatype programming guidelines, could create new standard datatype modules.","any experienced computer, using the amiga datatype programming guidelines, could create new standard datatype modules.","Any experienced programmer, using the Amiga datatype programming guidelines, could conjure new standard datatype modules.","any experienced computer , using the Amiga datatype programming guidelines, could conjure new standard datatype modules.",CN
historian,justify,archive,"however, the historian  justified the actions of the western powers.","however, the archive  justified the actions of the western powers.","However, the historian set out to vindicate the actions of the western powers.","however, the archive set out to vindicate the actions of the western powers.",CN
prince,set,sword,"grieving, the prince set out in search of his beloved.","grieving, the sword set out in search of his beloved.","Grieving, the prince launched himself into the search for his beloved.","grieving, the sword launched himself into the search for his beloved.",CN
guitarist,turn,music studio,"but as he was already playing in a group, the guitarist turned the singer down.","but as he was already playing in a group, the music studio turned the singer down.",The guitarist had to demolish the singer's hopes of taking the stage.,"but as he was already playing in a group, the music studio had to demolish the singer's hopes of taking the stage.",CN
composer,conduct,opera house,"the composer conducted, and the staging was by director bodo igesz.","the opera house conducted, and the staging was by director bodo igesz.","The composer wielded the orchestra, while director Bodo Igesz wielded the staging.","the opera house wielded the orchestra, while director Bodo Igesz wielded the staging.",CN
curator,inform,museum,the curator informs them that the artist is gerri harden.,the museum informs them that the artist is gerri harden.,The curator blares the news that the artist is Gerrit Rietveld.,the museum blares the news that the artist is Gerrit Rietveld.,CN
judge,dismiss,courtroom,the judge eventually dismissed the case.,the courtroom eventually dismissed the case.,The judge slammed shut the case.,the courtroom slammed shut the case.,CN
pianist,sustain,concert hall,"using this pedal, a pianist can sustain selected notes, while other notes remain unaffected.","using this pedal, a concert hall can sustain selected notes, while other notes remain unaffected.","Using this pedal, a pianist can hold the selected notes hostage, while the others remain free.","using this pedal, a concert hall can hold the selected notes hostage, while the others remain free.",CN
geologist,detail,laboratory,"the more core samples that are available, the better the geologist can detail the surface.","the more core samples that are available, the better the laboratory can detail the surface.","The more core samples that are available, the better the geologist can sketch a beautiful landscape of the surface.","the more core samples that are available, the better the laboratory can sketch a beautiful landscape of the surface.",CN
drummer,throw,drumsticks,the bops' drummer throws a dart and deflates the bass drum.,the bops' drumsticks throws a dart and deflates the bass drum.,The bops' drummer launches a sonic blast that deflates the bass drum.,the bops' drumsticks launches a sonic blast that deflates the bass drum.,CN
player,have,game console,the player has a five-hit life bar.,the game console has a five-hit life bar.,The player clings to a five-hit life bar.,the game console clings to a five-hit life bar.,CN
artist,have,studio,"due to various problems, the artist had to cancel the project.","due to various problems, the studio had to cancel the project.",The artist's project was drowning in the undertow of various problems.,"due to various problems, the studio 's project was drowning in the undertow of various problems.",CN
geologist,inform,laboratory,"when he visited california, a geologist informed him about lava in iceland.","when he visited california, a laboratory informed him about lava in iceland.","When he visited California, the geologist unleashed a torrent of knowledge about the lava in Iceland.","when he visited california, a laboratory unleashed a torrent of knowledge about the lava in Iceland.",CN
judge,say,law,"""the judge said the tapes were incendiary.","""the law said the tapes were incendiary.",The judge declared the tapes ablaze with inflammatory rhetoric.,"""the law declared the tapes ablaze with inflammatory rhetoric.",CN
player,record,arena,the filipino-tongan player recorded 7 points and 8 rebounds in his first game with meralco.,the filipino-tongan arena recorded 7 points and 8 rebounds in his first game with meralco.,The Filipino-Tongan player shattered the scoreboard with 7 points and 8 rebounds in his first game with Meralco.,the filipino-tongan arena shattered the scoreboard with 7 points and 8 rebounds in his first game with Meralco.,CN
queen,order,scepter,"anticipating a future crisis, the queen ordered the tower to be fortified and security increased.","anticipating a future crisis, the scepter ordered the tower to be fortified and security increased.",The queen decreed the tower's defenses and security.,"anticipating a future crisis, the scepter decreed the tower's defenses and security.",CN
reporter,brand,newsroom,"a reporter from the argus branded him a ""good guy"".","a newsroom from the argus branded him a ""good guy"".","The reporter from the Argus emblazoned him as a ""good guy"" across the headlines.","a newsroom from the Argus emblazoned him as a ""good guy"" across the headlines.",CN
minister,answer,parliament,the minister answered in the affirmative.,the parliament answered in the affirmative.,The minister made a thunderous declaration of affirmation.,the parliament made a thunderous declaration of affirmation.,CN
driver,turn,cab,"the cab driver turned it in, and it was returned unscathed.","the cab turned it in, and it was returned unscathed.","The cab driver flipped the issue over, and it landed unscathed.","the cab flipped the issue over, and it landed unscathed.",CN
sculptor,carve,chisel,"the sculptor carved only his mark into the sculpture, leaving his identity a mystery.","the chisel carved only his mark into the sculpture, leaving his identity a mystery.","The sculptor etched only his mark into the sculpture, leaving his identity a mystery.","the chisel etched only his mark into the sculpture, leaving his identity a mystery.",CN
police,issue,police station,the police issued orders to all the leaders who attended this bombay session.,the police station issued orders to all the leaders who attended this bombay session.,The police unleashed orders to all the leaders who attended the Bombay session.,the police station unleashed orders to all the leaders who attended the Bombay session.,CN
architect,attempt,blueprints,"the architect attempts to use scientific methods to locate the aqueduct, but to no avail.","the blueprints attempts to use scientific methods to locate the aqueduct, but to no avail.","The architect wrestled with the ancient aqueduct, but to no avail.","the blueprints wrestled with the ancient aqueduct, but to no avail.",CN
animator,record,animation studio,"each day, the animator can record about five seconds of video.","each day, the animation studio can record about five seconds of video.","Each day, the animator captures lightning in a bottle, managing to distill five seconds of video.","each day, the animation studio captures lightning in a bottle, managing to distill five seconds of video.",CN
professor,continue,office,video professor continued to accumulate debt with advertising and marketing companies.,video office continued to accumulate debt with advertising and marketing companies.,The video professor was drowning in a sea of expenses from advertising and marketing companies.,video office was drowning in a sea of expenses from advertising and marketing companies.,CN
entrepreneur,contemplate,office,"the entrepreneur was contemplating suicide, and had complained to the carabinieri of the extortion attempt.","the office was contemplating suicide, and had complained to the carabinieri of the extortion attempt.","The entrepreneur was staring into the abyss, and had turned to the authorities in desperation, complaining of the extortion attempt.","the office was staring into the abyss, and had turned to the authorities in desperation, complaining of the extortion attempt.",CN
physician,arrive,palace,"in august 1676, the emperor's personal physician arrived in neuburg and examined eleonore.","in august 1676, the emperor's personal palace arrived in neuburg and examined eleonore.","In August 1676, the emperor's personal physician burst onto the scene in Neuburg and examined Eleonore.","in august 1676, the emperor's personal palace burst onto the scene in Neuburg and examined Eleonore.",CN
athlete,come,jersey,iceland's most famous athlete comes from the world of football.,iceland's most famous jersey comes from the world of football.,Iceland's most famous athlete shines through in the world of football.,iceland's most famous jersey shines through in the world of football.,CN
author,postulate,university,the author postulates that the absolute justification in this system is refutable.,the university postulates that the absolute justification in this system is refutable.,The author boldly proclaimed that the absolute justification in this system was refutable.,the university boldly proclaimed that the absolute justification in this system was refutable.,CN
chef,win,kitchen,(win) the chef won the elimination challenge.,(win) the kitchen won the elimination challenge.,The chef captured the judges' hearts in the elimination challenge.,(win) the kitchen captured the judges' hearts in the elimination challenge.,CN
waiter,set,restaurant,"rather, the waiter sets the table with dozens of small dishes filled with various dishes.","rather, the restaurant sets the table with dozens of small dishes filled with various dishes.","The waiter exploded the table with a dazzling array of small dishes, each one a culinary delight.","rather, the restaurant exploded the table with a dazzling array of small dishes, each one a culinary delight.",CN
doctor,go,university,"the doctor goes on about nobility, the divine right of kings, and blind loyalty.","the university goes on about nobility, the divine right of kings, and blind loyalty.","The doctor pontificated on the topics of nobility, the divine right of kings, and blind loyalty.","the university pontificated on the topics of nobility, the divine right of kings, and blind loyalty.",CN
constable,take,village jail,the constable takes winnie home and locks mae in the village jail.,the village jail takes winnie home and locks mae in the village jail.,"The constable whisks Winnie home, while locking Mae away in the village jail.","the village jail whisks Winnie home, while locking Mae away in the village jail.",CN
politician,consider,parliament,"during the politician's term, the politician considered to be the sitting trust of that seat.","during the parliament's term, the politician considered to be the sitting trust of that seat.","During the politician's term, they weighed the fate of the nation in their role as the sitting trust of that seat.","during the parliament 's term, they weighed the fate of the nation in their role as the sitting trust of that seat.",CN
curator,guarantee,cricket ground,the curator guaranteed to doctor the pitch according to demand.,the cricket ground guaranteed to doctor the pitch according to demand.,The curator sealed a pact to tailor the pitch according to demand.,the cricket ground sealed a pact to tailor the pitch according to demand.,CN
politician,estimate,polling station,"an opposition politician estimated the crowd marching for the ""no"" vote at 160,000.","an opposition polling station estimated the crowd marching for the ""no"" vote at 160,000.","The opposition politician swarmed with 160,000 marchers for the ""no"" vote.","an opposition polling station swarmed with 160,000 marchers for the ""no"" vote.",CN
paramedic,state,defibrillator,"a senior trust paramedic stated, “it's desperate.","a senior trust defibrillator stated, “it's desperate.",The senior trust paramedic painted a bleak picture.,a senior trust defibrillator painted a bleak picture.,CN
commentator,say,television studio,"a commentator said ""morocco will likely continue its steps to take command of the organization"".","a television studio said ""morocco will likely continue its steps to take command of the organization"".",The commentator thundered that Morocco would likely continue its steps to take command of the organization.,a television studio thundered that Morocco would likely continue its steps to take command of the organization.,CN
student,apply,university,the student must apply just like any job applicant.,the university must apply just like any job applicant.,The student must throw themselves at the opportunity.,the university must throw themselves at the opportunity.,CN
comedian,maintain,comedy club,an insult comedian often maintains a competitive and interactive relationship with their audience.,an insult comedy club often maintains a competitive and interactive relationship with their audience.,The insult comedian often ignites a competitive and interactive relationship with their audience.,an insult comedy club often ignites a competitive and interactive relationship with their audience.,CN
historian,publish,university,the historian publishes original articles and book reviews in all areas of historical scholarship.,the university publishes original articles and book reviews in all areas of historical scholarship.,The historian unleashes a wealth of knowledge through original articles and book reviews in all areas of historical scholarship.,the university unleashes a wealth of knowledge through original articles and book reviews in all areas of historical scholarship.,CN
artist,sing,arena,"a major recording artist typically sings the national anthem, prior to tip-off.","a major recording arena typically sings the national anthem, prior to tip-off.",The major recording artist typically warbles the national anthem prior to tip-off.,a major recording arena typically warbles the national anthem prior to tip-off.,CN
